receipt_ID,receipt_status,receipt_date,week_number
1717112398432904,invalid,2018-09-01,7
1717811651439272,paid,2018-09-02,7
1718317236677296,invalid,2018-09-03,8
1719247461911232,invalid,2018-09-04,8
1719703276907220,invalid,2018-09-05,8
1720414810901220,invalid,2018-09-06,8
1721179827137288,submitted,2018-09-07,8
1721707011935000,submitted,2018-09-08,8
1700008540498120,paid,2018-08-08,4
1698748264753316,paid,2018-08-06,4
1700483441813712,invalid,2018-08-09,4
1701171241781468,paid,2018-08-10,4
1701900922726632,paid,2018-08-11,4
1704026991298840,paid,2018-08-14,5
1704636220705064,invalid,2018-08-15,5
1705661858220356,invalid,2018-08-16,5
1706881114990940,paid,2018-08-18,5
1708266860677508,invalid,2018-08-20,6
1708945564535192,paid,2018-08-21,6
1709751554820528,invalid,2018-08-22,6
1711822484949484,paid,2018-08-25,6
1713945122425388,invalid,2018-08-28,7
1717736591174304,invalid,2018-09-02,7
1721357701565196,submitted,2018-09-07,8
1703431424755976,paid,2018-08-13,5
1705647812618560,paid,2018-08-16,5
1707142979373412,paid,2018-08-18,5
1709266655537572,paid,2018-08-21,6
1709889749019068,invalid,2018-08-22,6
1721057764092676,paid,2018-09-07,8
